rxn_idx	gene_sets_str
0	[['[]']]
1	[['[]']]
2	[['[]']]
3	[['[]']]
4	[['[]']]
5	[['[]']]
6	[['[]']]
7	[['[]']]
8	[['[]']]
9	[['[]']]
10	[['[]']]
11	[['[]']]
12	[['8639.1'], ['26.1'], ['314.2'], ['314.1']]
13	[['[]']]
14	[['[]']]
15	[['[]']]
16	[['[]']]
17	[['[]']]
18	[['[]']]
19	[['[]']]
20	[['[]']]
21	[['1591.1']]
22	[['1591.1']]
23	[['[]']]
24	[['[]']]
25	[['[]']]
26	[['[]']]
27	[['[]']]
28	[['1594.1']]
29	[['1594.1']]
30	[['10993.1']]
31	[['6818.1']]
32	[['89874.1']]
33	[['[]']]
34	[['92483.1'], ['3948.2'], ['55293.1'], ['3945.1', '3939.1'], ['3939.1'], ['160287.1'], ['3945.1'], ['3948.1']]
35	[['9123.1'], ['9194.1'], ['6566.1']]
36	[['57835.3'], ['8671.1'], ['57835.2'], ['57835.1'], ['57835.4']]
37	[['[]']]
38	[['4967.2', '1738.1', '8050.1', '1743.1'], ['4967.1', '1738.1', '8050.1', '1743.1']]
39	[['89874.1']]
40	[['130.1'], ['127.1'], ['125.1', '124.1'], ['131.1'], ['126.1', '124.1'], ['128.1'], ['137872.1'], ['125.1', '126.1']]
41	[['[]']]
42	[['1312.1'], ['1312.2']]
43	[['117247.1']]
44	[['218.1'], ['222.1'], ['220.1'], ['221.1']]
45	[['222.1'], ['221.1'], ['218.1']]
46	[['221.1'], ['218.1'], ['220.1']]
47	[['221.1'], ['222.1']]
48	[['[]']]
49	[['3242.1']]
50	[['[]']]
51	[['18.1'], ['18.2']]
52	[['18.1'], ['18.2']]
53	[['[]']]
54	[['[]']]
55	[['2531.1']]
56	[['23498.1']]
57	[['55268.1']]
58	[['[]']]
59	[['51166.1'], ['883.1'], ['51166.2']]
60	[['1644.1']]
61	[['218.1'], ['221.1'], ['222.1'], ['220.1']]
62	[['[]']]
63	[['[]']]
64	[['[]']]
65	[['222.1'], ['220.1'], ['221.1'], ['218.1']]
66	[['222.1'], ['220.1'], ['221.1'], ['218.1']]
67	[['4128.1'], ['4129.1']]
68	[['10165.1'], ['8604.1']]
69	[['51380.1'], ['2571.1'], ['2572.1'], ['2571.2']]
70	[['[]']]
71	[['2805.1']]
72	[['2806.1']]
73	[['[]']]
74	[['[]']]
75	[['4128.1'], ['4129.1']]
76	[['4128.1'], ['4129.1']]
77	[['4129.1'], ['8639.1'], ['26.1'], ['314.2'], ['314.1'], ['4128.1']]
78	[['[]']]
79	[['[]']]
80	[['[]']]
81	[['[]']]
82	[['8659.1'], ['8659.2']]
83	[['222.1'], ['220.1'], ['221.1'], ['218.1']]
84	[['[]']]
85	[['[]']]
86	[['[]']]
87	[['[]']]
88	[['[]']]
