bigg_id	smiles	mol_weight	xlogp	hbond_acceptor	hbond_donor	tpsa	ring_count	formal_charge
11docrtstrn		330.5	2.9	3	1	54.4	0	0
12dgr120		456.7	9.7	5	1	72.8	0	0
12harachd		320.5	5.7	3	2	57.5	0	0
10fthf		473.4	-1.2	10	7	216.0	0	0
14hmdz		357.8	2.1	5	2	70.6	0	0
15HPET		336.5	5.1	4	2	66.8	0	0
15kprostgf2		352.5	2.6	5	3	94.8	0	0
17ahprgnlone		332.5	3.1	3	2	57.5	0	0
1a2425thvitd2		444.6	3.7	4	4	80.9	0	0
1a25dhvitd2		428.6	4.9	3	3	60.7	0	0
1a25dhvitd3		416.6	5.1	3	3	60.7	0	0
1pipdn2c		127.14	0.0	3	1	49.7	0	0
1pyr5c		112.11	0.1	3	0	52.5	0	0
20ahchsterol		402.7	6.9	2	2	40.5	0	0
21hprgnlone		332.5	3.6	3	2	57.5	0	0
23doguln		191.12	-1.7	7	3	135.0	0	0
24nph		155.11	1.5	4	2	86.3	0	0
23cump		306.17	-3.0	8	3	135.0	0	0
2425dhvitd3		416.6	5.0	3	3	60.7	0	0
25hvitd2		412.6	6.0	2	2	40.5	0	0
25aics		454.28	-4.3	14	8	264.0	0	0
2amac		86.07	0.6	3	1	66.2	0	0
25hvitd3		400.6	6.2	2	2	40.5	0	0
2aobut		117.1	-3.4	4	2	80.4	0	0
2c23dh56dhoxin		195.17	0.9	5	4	89.8	0	0
2dp6mep		805.3	20.2	2	1	29.5	0	0
2dr1p		214.11	-2.1	7	4	116.0	0	0
2dp6mobq		819.3	18.9	3	0	43.4	0	0
2dr5p		214.11	-3.4	7	4	124.0	0	0
2h3mv		132.16	0.9	3	2	57.5	0	0
2hyoxplac		151.14	1.5	3	1	60.4	0	0
2kmb		148.18	0.3	4	1	79.7	0	0
2maacoa		865.6	-5.2	23	9	406.0	0	0
2mb2coa		849.6	-4.4	22	9	389.0	0	0
2mbcoa		851.7	-4.2	22	9	389.0	0	0
2mcit		206.15	-1.4	7	4	132.0	0	0
2mp2coa		835.6	-4.6	22	9	389.0	0	0
2mop		101.08	0.6	3	0	57.2	0	0
2obut		102.09	0.1	3	1	54.4	0	0
2mpdhl		277.5	2.3	4	2	86.5	0	0
2pg		186.06	-2.6	7	4	124.0	0	0
34dhmald		168.15	-0.6	4	3	77.8	0	0
34dhoxpeg		170.16	-1.0	4	4	80.9	0	0
34dhpe		154.16	-0.7	3	3	60.7	0	0
34dhoxmand		184.15	-0.6	5	4	98.0	0	0
34dhpac		152.15	0.4	3	2	57.5	0	0
34dhphe		197.19	-2.7	5	4	104.0	0	0
35diotyr		432.98	-0.5	4	3	83.6	0	0
35cgmp		345.21	-3.4	9	4	171.0	0	0
3aib		103.12	-2.9	3	2	63.3	0	0
3ddcrn		359.5	4.2	5	1	86.7	0	0
34hpp		179.15	1.3	4	1	77.4	0	0
3deccrn		331.4	3.6	5	1	86.7	0	0
3dphb		819.3	19.7	3	2	57.5	0	0
3hbcoa		853.6	-5.9	23	10	409.0	0	0
3hdcoa		937.8	-2.9	23	10	409.0	0	0
3hdececrn		413.6	5.4	5	1	86.7	0	0
3hddcoa		965.8	-1.8	23	10	409.0	0	0
3hexdcrn		415.6	6.4	5	1	86.7	0	0
3hibutcoa		853.6	-5.8	23	10	409.0	0	0
3hivac		118.13	-0.3	3	2	57.5	0	0
3hmbcoa		867.7	-5.4	23	10	409.0	0	0
3hmp		103.1	0.3	3	1	60.4	0	0
3hpcoa		839.6	-6.4	23	10	409.0	0	0
3hpp		90.08	-1.0	3	2	57.5	0	0
3htdcoa		993.9	-0.7	23	10	409.0	0	0
3htmelys		205.27	-3.2	4	3	83.6	0	0
3ivcoa		867.7	-5.7	23	10	409.0	0	0
3mb2coa		849.6	-4.2	22	9	389.0	0	0
3mgcoa		893.6	-5.1	24	10	426.0	0	0
3m4hpga		182.17	-0.3	4	2	66.8	0	0
3meacmp		181.19	0.0	3	2	58.6	0	0
3mglutr		146.14	0.1	4	2	74.6	0	0
3mhis		169.18	-3.3	4	2	81.1	0	0
3mox4hoxm		198.17	-0.2	5	3	87.0	0	0
3mop		129.13	1.7	3	0	57.2	0	0
3mox4hpac		166.17	0.3	3	1	46.5	0	0
3mob		115.11	1.4	3	0	57.2	0	0
3moxtyr		167.2	0.2	3	2	55.5	0	0
3octdec2crn		439.6	7.2	5	2	97.7	0	0
3octdece1crn		441.6	6.9	5	2	97.7	0	0
3odcoa		935.8	-2.8	23	9	406.0	0	0
3oddcoa		963.8	-1.7	23	9	406.0	0	0
3ohdcoa		1015.9	0.1	23	5	417.0	0	0
3ohglutac		148.11	-1.4	5	3	94.8	0	0
3ohodcoa		1048.0	1.5	23	9	406.0	0	0
3ohsebac		218.25	0.8	5	3	94.8	0	0
3otdcoa		991.9	-0.6	23	9	406.0	0	0
3pg		186.06	-2.6	7	4	124.0	0	0
3sala		153.16	-4.2	6	3	120.0	0	0
3snpyr		152.13	-1.0	6	2	111.0	0	0
3spyr		168.13	-1.4	6	2	117.0	0	0
3uib		146.14	-1.0	3	3	92.4	0	0
42A3HP24DB		222.17	1.3	6	2	121.0	0	0
4aphdob		206.17	1.9	5	1	100.0	0	0
4abutn		87.12	-0.9	2	1	43.1	0	0
4abut		103.12	-3.2	3	2	63.3	0	0
3ump		510.21	-5.5	17	10	289.0	0	0
4hbz		138.12	1.6	3	2	57.5	0	0
4izp		156.14	-0.9	4	2	78.8	0	0
4hoxpacd		136.15	0.5	2	1	37.3	0	0
4hphac		152.15	0.8	3	1	46.5	0	0
4mop		130.14	0.9	3	1	54.4	0	0
4nph		139.11	1.9	3	1	66.1	0	0
4nphsf		219.17	0.8	6	1	118.0	0	0
4ppan		299.21	-2.2	8	5	153.0	0	0
4ppcys		402.36	-2.5	10	7	183.0	0	0
4pyrdx		183.16	0.1	5	3	90.7	0	0
4tmeabut		130.21	0.1	1	0	17.1	0	0
56dihindlcrbxlt		192.15	1.8	4	3	96.4	0	0
5HPET		336.5	5.3	4	2	66.8	0	0
4tmeabutn		146.21	0.1	2	1	37.3	0	0
56dthm		128.13	-0.6	2	2	58.2	0	0
56dura		114.1	-1.1	2	2	58.2	0	0
